City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
286,San Cristobal,7.77,-72.22,84.2,62,40,5.82,VE,scattered clouds
287,Puerto Colombia,10.99,-74.95,73.4,100,75,4.7,CO,moderate rain
288,Mizan Teferi,6.98,35.58,62.46,91,100,1.54,ET,overcast clouds
289,Stolbishche,55.65,49.22,78.33,80,0,8.95,RU,clear sky
290,Mount Gambier,-37.83,140.77,48.2,93,84,5.82,AU,broken clouds
291,General Roca,-39.03,-67.58,73.4,60,75,3.36,AR,broken clouds
292,Abu Samrah,35.3,37.18,62.71,54,53,8.01,SY,broken clouds
293,Saint-Joseph,-21.37,55.62,71.6,78,0,8.05,RE,clear sky
294,Abu Kamal,34.45,40.92,66.9,41,46,5.06,SY,scattered clouds
295,Birnin Kebbi,12.45,4.2,80.02,19,80,6.64,NG,broken clouds
296,Teresita,6.41,124.71,73.87,82,100,1.21,PH,overcast clouds
297,Songjianghe,42.19,127.48,20.1,81,0,6.38,CN,clear sky
298,Bada,51.39,109.87,25.84,94,70,4.74,RU,broken clouds
299,Torbay,47.67,-52.73,37.99,51,40,12.75,CA,scattered clouds
300,Souillac,-20.52,57.52,73.4,88,75,8.05,MU,broken clouds
301,Skelleftea,64.75,20.95,32.0,85,0,6.93,SE,clear sky
302,Pangnirtung,66.15,-65.71,14.0,66,90,4.7,CA,overcast clouds
303,Kamenka,51.32,42.77,46.99,93,99,16.91,RU,overcast clouds
304,Christchurch,-43.53,172.63,46.99,81,0,5.82,NZ,clear sky
305,Luwuk,-0.95,122.79,76.17,71,19,5.12,ID,few clouds
306,Evensk,61.95,159.23,9.46,88,100,12.44,RU,overcast clouds
307,Boende,-0.22,20.87,73.9,88,73,2.17,CD,light rain
308,Yeniseysk,58.45,92.17,37.26,84,100,7.36,RU,overcast clouds
309,Diffa,13.32,12.61,77.18,24,86,6.69,NE,overcast clouds
310,Singaparna,-7.35,108.11,70.3,88,0,0.54,ID,clear sky
311,Daru,-9.08,143.21,80.19,85,60,14.47,PG,moderate rain
312,Ilebo,-4.32,20.58,73.33,92,89,1.79,CD,overcast clouds
313,Cooma,-36.23,149.13,48.2,93,90,8.05,AU,overcast clouds
314,Constitucion,-35.33,-72.42,65.14,49,0,12.1,CL,clear sky
315,Sambava,-14.27,50.17,75.58,86,98,12.55,MG,light rain
316,Trojes,41.76,19.96,50.0,93,0,3.36,AL,clear sky
317,Kashi,39.45,75.98,46.4,28,20,11.18,CN,few clouds
318,Homer,59.64,-151.55,44.6,87,90,11.72,US,moderate rain
319,Moa,20.66,-74.94,82.89,75,100,9.89,CU,overcast clouds
320,Lensk,60.73,114.93,5.92,88,100,3.71,RU,overcast clouds
321,Kibala,9.11,18.35,82.4,65,0,0.36,TD,clear sky
322,Sao Joao Da Barra,-21.64,-41.05,84.2,66,20,11.41,BR,few clouds
323,Edirne,41.68,26.56,52.0,80,0,7.16,TR,clear sky
324,Iquitos,-3.75,-73.25,80.6,88,75,6.93,PE,broken clouds
325,Zhigansk,66.77,123.37,-16.15,89,49,3.83,RU,scattered clouds
326,Wad Madani,14.4,33.52,79.41,19,0,9.24,SD,clear sky
327,Tiarei,-17.53,-149.33,82.4,74,40,3.36,PF,scattered clouds
328,Sal Rei,16.18,-22.92,80.6,69,0,18.34,CV,clear sky
329,West Plains,36.73,-91.85,69.01,88,90,8.05,US,overcast clouds
330,Vardo,70.37,31.11,33.8,80,0,31.09,NO,clear sky
331,Severo-Kurilsk,50.68,156.12,34.61,84,100,4.25,RU,overcast clouds
332,Lianzhou,24.78,112.38,56.84,62,0,3.87,CN,light rain
333,Denpasar,-8.65,115.22,80.6,88,40,2.24,ID,scattered clouds
334,Egvekinot,66.32,-179.17,13.68,94,60,7.87,RU,broken clouds
335,Chalus,36.66,51.42,55.4,93,75,2.24,IR,broken clouds
336,Saint-Raymond,45.47,-73.61,66.2,48,0,4.7,CA,clear sky
337,Sheregesh,52.92,87.99,35.1,86,100,4.72,RU,overcast clouds
338,Mangaldai,26.43,92.03,69.8,100,20,5.12,IN,mist
339,Havoysund,71.0,24.66,35.6,78,75,12.75,NO,light rain
340,Nuevo Progreso,23.17,-97.95,87.01,46,73,5.01,MX,broken clouds
341,Puerto Ayacucho,5.66,-67.62,86.04,66,59,3.36,VE,broken clouds
342,Chuy,-33.7,-53.46,68.22,64,0,12.66,UY,clear sky
343,Tabory,58.52,64.55,30.87,98,100,7.2,RU,overcast clouds
344,Belaya Gora,68.53,146.42,-10.32,91,94,1.92,RU,overcast clouds
345,Kaoma,-14.78,24.8,79.11,20,7,3.06,ZM,clear sky
346,Maturin,9.75,-63.18,85.75,76,30,6.67,VE,moderate rain
347,Sim,54.99,57.7,35.64,84,100,14.94,RU,light rain
348,Malibu,34.01,-118.81,59.0,65,2,1.99,US,clear sky
349,Klaksvik,62.23,-6.59,44.6,87,100,11.41,FO,light rain
350,Vuktyl,63.86,57.31,25.88,98,80,4.72,RU,broken clouds
351,Pacific Grove,36.62,-121.92,55.99,54,75,21.92,US,broken clouds
352,Bozdar,27.18,68.64,69.8,73,0,2.39,PK,haze
353,Safford,32.83,-109.71,60.8,38,1,4.7,US,clear sky
354,La Vega,19.22,-70.53,84.2,74,75,19.46,DO,broken clouds
355,Pontianak,-0.03,109.33,77.45,89,100,3.11,ID,overcast clouds
356,Ulaanbaatar,47.91,106.88,8.6,78,0,2.24,MN,clear sky
357,Labuhan,-6.88,112.21,79.32,78,100,7.54,ID,overcast clouds
358,Maple Creek,49.92,-109.48,17.6,92,100,11.41,CA,overcast clouds
359,Longyan,25.11,117.02,59.54,73,30,3.65,CN,light rain
360,Dabat,12.98,37.77,59.0,58,96,2.66,ET,overcast clouds
361,Zyryanka,65.75,150.85,-4.25,92,99,6.4,RU,overcast clouds
362,Barguzin,53.62,109.62,33.21,92,100,1.25,RU,overcast clouds
363,Port Blair,11.67,92.75,80.73,83,90,7.29,IN,light rain
364,Esperance,-33.87,121.9,64.4,72,0,17.22,AU,clear sky
